,author,date,text,n_likes,n_reposts,with_photo,is_repost?
0,dying,17 авг 2015,хочу видеть тебя каждый день,14351,325,False,False
1,dying,17 авг 2015,"Живёшь живёшь, и тут в твоей жизни появляется Полина",7098,144,False,False
2,dying,17 авг 2015,"- По кому скучаешь?
- По Наташе",6439,121,False,False
3,dying,17 авг 2015,"и дай Бог каждому быть с тем, с кем сердце не ищет других",8469,221,False,False
4,dying,17 авг 2015,"Моя Арина милашка
Моя Арина бандитка
Моя Арина псих
Моя Арина лучшая",3704,71,False,False
5,dying,17 авг 2015,"Людей, которые бросают слова на ветер, я бы бросала с моста.",11242,257,False,False
6,dying,17 авг 2015,"AppToday| Это необходимо скачать
16 авг 2015 в 20:27",571,34,False,True
7,dying,17 авг 2015,хочу просыпаться и видеть твоё еблище,7313,109,False,False
8,dying,17 авг 2015,"Я принцеска, а вы нет *-*",6788,164,False,False
9,dying,17 авг 2015,все Светки принцесски,3655,58,False,False
10,dying,17 авг 2015,,5685,123,True,False
11,dying,17 авг 2015,Каждая Лида чья-то проблема,2625,29,False,False
12,dying,17 авг 2015,"Я хочу, чтобы тебе было так же больно, как и мне.",6562,167,False,False
13,dying,17 авг 2015,"Я устала скучать, блять",5621,86,False,False
14,dying,17 авг 2015,"У всех любовь, а я люблю шоколад)",5827,130,False,False
15,dying,17 авг 2015,"- По кому скучаешь?
- По Алёне",3560,68,False,False
16,dying,17 авг 2015,здравствуй грусть,4553,85,False,False
17,dying,17 авг 2015,"Любите Леру
Пишите Лере
Гуляйте с Лерой
Обнимайте Леру
Цените Леру
Берегите Леру",4747,111,False,False
18,dying,17 авг 2015,"У всех любовь, а у меня подруга Даша",3787,85,False,False
19,dying,17 авг 2015,отсоси потом проси,4204,42,False,False
20,dying,17 авг 2015,А у моего счастья глаза карие,10170,200,False,False
21,dying,17 авг 2015,"ты еще вспомнишь, ту девочку, которая любила тебя больше всех",7937,167,False,False
22,dying,17 авг 2015,"Я часто про него говорю? А представь, сколько я про него думаю.",5456,118,False,False
23,dying,17 авг 2015,"Я уеду жить в Бельгию,
Я уеду туда, где поют рапапа
Может быть навсегда",3624,61,False,False
24,dying,17 авг 2015,"У меня 3 разных личности:

1. Одна, где я общительная и громкая

2. Одна, где я тихая и чертовски спокойная

3. Одна, где я ненавижу всех и каждая малейшая вещь раздражает меня",3846,137,False,False
25,dying,17 авг 2015,"Я пришел на работу работать. А не на глупые
вопросы отвечать – почему я пьяный здесь сплю.",2566,45,False,False
26,dying,17 авг 2015,"16 Способов: Как достать родителей. Добавляй к себе на страницу, чтобы не потерять.

1. Ходи за ними по дому.
2. Мычи как корова когда они называют твоё имя.
3. Вбегай в стены.
4. Говори что носить одежду противоречит твоей религии.
5. Встань около них в 4 утра и с огромной улыбкой скажи ""ДОБРОЕ УТРО,СОЛНЫШКО"".
6. Вырви у кого-нибудь волос и закричи ""ДНК!!"".
7. Спрыгни с крыши в попытке полететь.
8. Возьми их за руку и с испуганным видом скажи ""Я вижу мертвецов"".
9. Попытайся поплавать на полу.
10. Бегай по всему дому с лампочкой и кричи ""СОЛНЦЕ! ОНО УМИРАЕТ!""
11. Пей из стакана с другой стороны.
12. Приклей палец к носу супер клеем.
13. Поразговаривай с ручкой.
14. Возьми мороженое и прилепи себе на лоб,утверждая что ты прекрасный единорог.
15. Повключай и повыклюкай свет, а потом скажи ""АААА теперь я понял"".
16. Кричи ""Я ТОНУ!!!!"" каждый раз когда ты в душе.",4458,187,False,False
27,dying,17 авг 2015,У каждого Леши должна быть своя Вика,1242,18,False,False
28,dying,16 авг 2015,Машу обидишь - лес и багажника увидишь,3108,92,False,False
29,dying,16 авг 2015,У каждой Кати должен быть свой ящик водки,4137,65,False,False
30,dying,16 авг 2015,"не дари мне цветы,дари мне пожрать",2367,29,False,False
31,dying,16 авг 2015,"Хорошо когда с Алиной Юля,все становится на свои места...",1428,23,False,False
32,dying,16 авг 2015,-У каждой Аньки должен быть свой Никита,1364,18,False,False
33,dying,16 авг 2015,У каждого должна быть своя Яна,2974,56,False,False
34,dying,16 авг 2015,у каждого должна быть своя Полина,2288,52,False,False
35,dying,16 авг 2015,"AppToday| Это необходимо скачать
15 авг 2015 в 9:54",166,3,False,True
36,dying,16 авг 2015,У каждого должна быть своя Соня,2978,72,False,False
37,dying,16 авг 2015,мой долбоеб,3503,46,False,False
38,dying,16 авг 2015,я - принцесска,3144,93,False,False
39,dying,16 авг 2015,"у всех любовь, а у меня подруга Лиза",2606,54,False,False
40,dying,16 авг 2015,"Мои сигареты приносят мне больше радости, чем твое люблю",2864,49,True,False
41,dying,16 авг 2015,"кто чем занимается,
го по фотке",1755,42,False,False
42,dying,16 авг 2015,"1. Накосячила
2. Попыталась исправить
3. Накосячила еще больше.",3161,86,False,False
43,dying,16 авг 2015,,3229,45,True,False
44,dying,16 авг 2015,"""нет"" - значит нет, а вот ""неа"" - значит да, но я пока выебываюсь",3681,61,False,False
45,dying,16 авг 2015,"DELETED
5 авг 2015 в 9:04",206,1,True,True
46,dying,16 авг 2015,"У всех любовь, а я что? Я Настя",4054,69,False,False
47,dying,16 авг 2015,от лайков ебало красивее не становится.,3438,35,False,False
48,dying,16 авг 2015,голубые глаза восхитительны,5027,125,False,False
49,dying,16 авг 2015,У каждого должна быть своя Карина,3233,71,False,False
50,dying,16 авг 2015,"этот текст бессмыслен, как и твоя жизнь",2459,33,False,False
51,dying,16 авг 2015,"я: наконец - то я счастлив
жизнь: лол, погоди сек",3180,56,False,False
52,dying,16 авг 2015,"да никому ты не нужна, смирись уже",3623,56,False,False
53,dying,16 авг 2015,,2655,27,True,False
54,dying,16 авг 2015,каждая Настя - фея,2029,58,False,False
55,dying,16 авг 2015,"- слышь, ты че такая дерзкая, а?
- я просто Полина",1702,33,False,False
56,dying,16 авг 2015,"Спасибо за целый месяц счастья.
Хотя,нет,не спасибо. Ты уебок",2238,17,False,False
57,dying,16 авг 2015,"- О Боже!
- Можно просто Женя.",1743,24,False,False
58,dying,16 авг 2015,ну будь же смелее,2097,29,False,False
59,dying,16 авг 2015,простоуйдинахуй.,2099,33,False,False
60,dying,16 авг 2015,"Каждая Влада бандитка
АМА ХАСЛА АМА АМА ХАСЛА",1722,26,False,False
61,dying,16 авг 2015,"У каждой Даши

-должен быть свой Тёмочка",1133,6,False,False
62,dying,16 авг 2015,"Каждая Вика, малявка...",2154,35,False,False
63,dying,16 авг 2015,Каждая Эмилия милая,703,10,False,False
64,dying,16 авг 2015,"Все гуляют с друзьями, а я с собакой",1774,36,False,False
65,dying,16 авг 2015,У каждой Маши должна быть своя Инна,549,8,False,False
66,dying,16 авг 2015,"У каждой Ксюши должен быть свой Кенан
У каждого Кенана должна быть своя Ксюша",611,8,False,False
67,dying,16 авг 2015,"как здорово,когда есть сестренка Иринка,которая любит тебя и которую любишь ты",1002,24,False,False
68,dying,16 авг 2015,"Мб я не самая красивая,зато орех норм",3425,30,False,False
69,dying,16 авг 2015,У каждой Маши должна быть своя Ира,923,10,False,False
70,dying,16 авг 2015,"Голубые глаза
Темные волосы
Высокий рост
Идеальное сочетание",2050,55,False,False
71,dying,15 авг 2015,"Редко у кого бывает сестра Анита, если ты Рита",651,1,False,False
72,dying,15 авг 2015,"У всех любовь, а у меня Милена есть",991,14,False,False
73,dying,15 авг 2015,"У каждой Карины, должна быть своя Влада
У каждой Влады, должна быть своя Карина",558,6,False,False
74,dying,15 авг 2015,"У каждой Иры должна быть своя Даша
У каждой Даши должна быть своя Ира",878,22,False,False
75,dying,15 авг 2015,"не любите друг друга, а убивайте",1783,28,False,False
76,dying,15 авг 2015,"Я не могу взять вот так и убежать, бросив все,
но если ты попросишь, мы убежим вместе.",1969,55,True,False
77,dying,15 авг 2015,"Класс ""А""
Это столица школы
В этом классе только гангстеры
В этом классе учится только элита
Даже учителя боятся этот класс
Все кроме ""А"" класса холопы
Тут даже отличники ведут себя как гопота
Только в этом классе некоторые могут прийти бухими на уроки",3150,124,False,False
78,dying,15 авг 2015,друзей нет,1440,22,False,False
79,dying,15 авг 2015,"Мечтаю прочитать твои мысли и узнать, наконец, кто я для тебя.",2800,72,False,False
80,dying,15 авг 2015,"Почему ты со мной дружить? Добавь себе на стену

1 Ты интересная
2 Ты веселая
3 Ты супер
4 Не могу без тебя
5 Я тебя люблю
6 Ты моя лучшая подруга
7 Ты привлекательная",1501,94,False,False
81,dying,15 авг 2015,"На душе пиздец,спасибо тебе,мальчик.",3100,41,False,False
82,dying,15 авг 2015,"Делай, что хочется, все равно тебя будут осуждать до конца жизни.",1805,35,False,False
83,dying,15 авг 2015,"Каждая Диана:

Красивая заботливая
добрая нежная милая очаровательная душевная незабываемая ангельская весёлая энергичная чудесная романтичная симпатичная единственная ласковая желанная предсказуемая загадочная интригующая лучшая скромная понимающая улыбчивая честная обаятельная целеустремлённая
дивная женственная.",912,37,False,False
84,dying,15 авг 2015,,1511,6,True,False
85,dying,15 авг 2015,"Над шрамом смеется тот, кто не был ранен.",2205,43,False,False
86,dying,15 авг 2015,"Каждая Аля бандитка
АМА ХАСЛА АМА АМА ХАСЛА",964,21,False,False
87,dying,15 авг 2015,"я хочу, чтобы кто-нибудь смотрел на меня так, как я смотрю на шоколадный торт",1672,35,False,False
88,dying,15 авг 2015,"тот, кто нужен, как всегда далеко",2063,39,False,False
89,dying,15 авг 2015,"Лето - это
3 месяца без учебников
92 дня свободы
2 208 часов счастья
133 480 минут блаженства",1609,68,False,False
90,dying,15 авг 2015,"я хочу, вместо контрольной нарисовать хуй в тетрадке",2365,22,False,False
91,dying,15 авг 2015,,2518,72,True,False
92,dying,15 авг 2015,П О З О В И Т Е М Е Н Я В К И Н О,1750,39,False,False
93,dying,15 авг 2015,,2360,23,True,False
94,dying,15 авг 2015,"Мне безумно захотелось, чтобы кто-то сел рядом и сказал - ""я тебя понимаю"". И чтобы действительно понял, почему я поступаю так, а не иначе. Почему я такой, какой есть. Просто понял. Это так важно.",1669,31,False,False
95,dying,15 авг 2015,Летом нужно больше гулять с Дашей,1662,31,False,False
96,dying,15 авг 2015,"-Тебе холодно?
-Да.
-Обними батарею.",2606,40,False,False
97,dying,15 авг 2015,,2362,38,True,False
98,dying,15 авг 2015,"Ты не ты, когда Катя не с тобой",2464,58,False,False
99,dying,15 авг 2015,приходи ко мне на чай,1443,21,False,False
100,dying,15 авг 2015,,2541,40,True,False
101,dying,15 авг 2015,"Кристину нельзя обижать, её нужно любить",2372,38,False,False
102,dying,15 авг 2015,"- Как у такой милой,красивой,очаровательной девушки нет парня?
- Сдох от счастья.",2509,53,False,False
103,dying,15 авг 2015,В голове с утра до ночи - ты.,1514,36,False,False
104,dying,15 авг 2015,Забирай к себе на стену и у тебя будет самое крутое и сумасшедшее лето. Прочтешь и проигнорируешь - будет скучное и самое худшее лето.,720,29,False,False
105,dying,15 авг 2015,хочу норм друга,1839,40,False,False
106,dying,15 авг 2015,"есть люди, при встречи с которыми начинает сильно биться сердце. И ведь каждый сейчас подумал об одном особенном человеке.",1354,37,False,False
107,dying,15 авг 2015,"Каждая Настя бандитка
АМА ХАСЛА АМА АМА ХАСЛА",1227,39,False,False
108,dying,15 авг 2015,"трахай ее раком,сука.",1355,9,False,False
109,dying,15 авг 2015,"""Почему люди считают, что имеют право разрушить чужие жизни?
Уходя, обижая, не звоня, бросая на ветер слова... Вы что, Боги, чтоб решать кому мучиться, а кому жить счастливо? Если уж сказал «Люблю», то будь добр любить до последнего вздоха.
Если сказал «Обещаю», то разбейся в лепёшку, но сдержи обещание.
Если произнёс «Не отпущу», то сделай всё, чтоб остаться.
В противном случае, какой смысл жить, если каждое ваше слово равноценно нулю и не имеет значения?""",1330,53,False,False
110,dying,15 авг 2015,"Каждая Алёна:

Красивая умненькая заботливая привлекательная,
добрая нежная милая очаровательная обворожительная душевная незабываемая неотразимая шикарная божественная завораживающая ангельская кокетливая весёлая энергичная чудесная романтичная симпатичная единственная ласковая сладенькая желанная непредсказуемая загадочная интригующая лучшая скромная понимающая заманчивая улыбчивая зажигательная честная обаятельная целеустремлённая
дивная женственная.",667,18,False,False
111,dying,15 авг 2015,"На фото я пиздатая чика, а в жизни Должанский.",2073,14,False,False
112,dying,15 авг 2015,покупай мне книги и называй меня милой,1288,10,True,False
113,dying,14 авг 2015,"- Почему такая грустная?
- По Вике скучаю",1355,33,False,False
114,dying,14 авг 2015,У каждой Марины должна быть своя Настя,658,19,False,False
115,dying,14 авг 2015,"-Винишка налей-ка
-Малая еще, Лиль",1044,5,False,False
116,dying,14 авг 2015,"у Евы такая чёткая попа.

Хусейн 5 лет.",833,1,False,False
117,dying,14 авг 2015,"Серо-голубые глазки
Маленький рост
Пушлые щечки
Прекрасное сочетание",1643,39,False,False
118,dying,14 авг 2015,"У каждой Кати, должна быть своя Вика",764,19,False,False
119,dying,14 авг 2015,"Сентябрь, не приближайся ко мне!",1260,26,False,False
120,dying,14 авг 2015,"▼
Нажми на поцелуйчик , и вскоре в тебя влюбятся
Если не нажмешь, так и будешь одна",379,2,True,False
121,dying,14 авг 2015,"AppToday| Это необходимо скачать
12 авг 2015 в 12:49",95,5,False,True
122,dying,14 авг 2015,,623,3,True,False
123,dying,14 авг 2015,"Зеленые глаза
Русые волосы
Маленький рост
Идеальное сочетание",1976,43,False,False
124,dying,14 авг 2015,,1226,22,True,False
125,dying,14 авг 2015,где-то на прилавке в магазине скучает по-мне алкоголь,1498,17,False,False
126,dying,14 авг 2015,"Ребёнок: *хочет быть взрослым*
Взрослый: *хочет быть ребёнком*
Подросток: *не хочет быть вообще*",1834,34,False,False
127,dying,14 авг 2015,"DELETED
5 авг 2015 в 9:04",87,0,True,True
128,dying,14 авг 2015,"Кажется, что всё уже забыто , но рано или поздно, ты всё вспоминаешь заново",1335,27,False,False
129,dying,14 авг 2015,,1380,20,True,False
130,dying,14 авг 2015,У каждого должна быть своя Марина,1021,17,False,False
131,dying,14 авг 2015,"завтра будет лучше.
ну, или нет.",1649,25,False,False
132,dying,14 авг 2015,"и оптимизм и жажда жизни
и положительный настрой
меня попробуй только сука
расстрой",698,14,False,False
133,dying,14 авг 2015,"Парням на заметку! О девушках

1. Когда она злая и уходит — иди за ней.
2. Когда она внимательно смотрит на твои губы — поцелуй её.
3. Когда она тебя отталкивает — держи её и не отпускай.
4. Когда обзывает тебя — целуй её и говори, что любишь.
5. Когда она злая — скажи, что она очень милая.
6. Когда она тихая — спроси, что не так.
7. Когда она тебя игнорирует — привлеки её внимание.
8. Когда она показывает себя с плохой стороны — говори, что она красивая.
9. Когда видишь, что она начинает плакать — обними и не оставляй одну на этой планете.
10. Когда она кладёт свою голову на твоё плечо — опустись и поцелуи её.
11. Когда она говорит, что нравишься ей — на самом деле она хочет сказать больше.
12. Когда она расскажет тебе секрет — храни его.
13. Когда она смотрит тебе в глаза — не опускай их, пока это не сделает она.
14. Когда она скучает по тебе — ей больно.
15. Когда ты «ломаешь» её сердце — боль и обида никогда не проходит.
16. Когда она говорит, что всё кончилось — она всё ещё хочет к тебе...
17. Возьми ее за руку, даже если на одно мгновение. (Не
важно где и когда.)
Показать ещё",1873,76,False,False
134,dying,14 авг 2015,"говорят, если вы никак не можете забыть человека - вы нужны ему.",1660,36,False,False
135,dying,14 авг 2015,успокой меня в своих объятиях,969,9,False,False
136,dying,14 авг 2015,"Она - весь мир для меня.
Она - моя жизнь.
Она - моя Мама.",2201,50,False,False
137,dying,14 авг 2015,"сначала люди говорят, что не могут друг без друга, а потом знать друг друга не хотят.",1108,22,False,False
138,dying,14 авг 2015,"Ты даже не представляешь, как сильно я хочу
поговорить с тобой",1187,23,False,False
139,dying,14 авг 2015,"- почему такая грустная?
- по Кате соскучилась",1176,17,False,False
140,dying,14 авг 2015,"Первая любовь - самая сильная, и только ее ты будешь помнить до конца жизни.",1111,29,True,False
141,dying,14 авг 2015,го бегать голыми по крышам и курить,1013,6,False,False
142,dying,14 авг 2015,"- По кому скучаешь?
- По Соне",701,11,False,False
143,dying,14 авг 2015,"На вопрос ""как дела?"" проще ответить ""нормально"" и услышать ""ясно"", чем рассказать все и услышать ""понятно"".",1133,20,False,False
