,author,date,n_likes,n_reposts,with_photo,is_repost?,text,T,Po,U,DD,Ff,N,VV,Td
0,dying,2015-08-17,14351,325,False,False,хотеть видеть каждый день,27.7,732.2,82.0,"Ветер, дующий с юго-запада",3.0,4.0,10.0,24.3
1,dying,2015-08-17,7098,144,False,False,жить жить твой жизнь появляться полина,27.7,732.2,82.0,"Ветер, дующий с юго-запада",3.0,4.0,10.0,24.3
2,dying,2015-08-17,6439,121,False,False,скучать наташа,27.7,732.2,82.0,"Ветер, дующий с юго-запада",3.0,4.0,10.0,24.3
3,dying,2015-08-17,8469,221,False,False,давать бог каждый сердце искать,27.7,732.2,82.0,"Ветер, дующий с юго-запада",3.0,4.0,10.0,24.3
4,dying,2015-08-17,3704,71,False,False,арина милашка арина бандитка арина псих арина хороший,27.7,732.2,82.0,"Ветер, дующий с юго-запада",3.0,4.0,10.0,24.3
5,dying,2015-08-17,11242,257,False,False,человек который бросать слово ветер бросать мост,27.7,732.2,82.0,"Ветер, дующий с юго-запада",3.0,4.0,10.0,24.3
6,dying,2015-08-17,571,34,False,True,AppToday это необходимо скачать 16 авг 2015 20 27,27.7,732.2,82.0,"Ветер, дующий с юго-запада",3.0,4.0,10.0,24.3
7,dying,2015-08-17,7313,109,False,False,хотеть просыпаться видеть твой еблище,27.7,732.2,82.0,"Ветер, дующий с юго-запада",3.0,4.0,10.0,24.3
8,dying,2015-08-17,6788,164,False,False,принцеск,27.7,732.2,82.0,"Ветер, дующий с юго-запада",3.0,4.0,10.0,24.3
9,dying,2015-08-17,3655,58,False,False,весь светок принцесски,27.7,732.2,82.0,"Ветер, дующий с юго-запада",3.0,4.0,10.0,24.3
10,dying,2015-08-17,2625,29,False,False,каждый лида чей-то проблема,27.7,732.2,82.0,"Ветер, дующий с юго-запада",3.0,4.0,10.0,24.3
11,dying,2015-08-17,6562,167,False,False,хотеть больно,27.7,732.2,82.0,"Ветер, дующий с юго-запада",3.0,4.0,10.0,24.3
12,dying,2015-08-17,5621,86,False,False,уставать скучать блять,27.7,732.2,82.0,"Ветер, дующий с юго-запада",3.0,4.0,10.0,24.3
13,dying,2015-08-17,5827,130,False,False,любовь любить шоколад,27.7,732.2,82.0,"Ветер, дующий с юго-запада",3.0,4.0,10.0,24.3
14,dying,2015-08-17,3560,68,False,False,скучать алена,27.7,732.2,82.0,"Ветер, дующий с юго-запада",3.0,4.0,10.0,24.3
15,dying,2015-08-17,4553,85,False,False,здравствовать грусть,27.7,732.2,82.0,"Ветер, дующий с юго-запада",3.0,4.0,10.0,24.3
16,dying,2015-08-17,4747,111,False,False,любить лера писать лера гулять лерой обнимать лера ценить лера беречь лера,27.7,732.2,82.0,"Ветер, дующий с юго-запада",3.0,4.0,10.0,24.3
17,dying,2015-08-17,3787,85,False,False,любовь подруга даша,27.7,732.2,82.0,"Ветер, дующий с юго-запада",3.0,4.0,10.0,24.3
18,dying,2015-08-17,4204,42,False,False,отсасывать просить,27.7,732.2,82.0,"Ветер, дующий с юго-запада",3.0,4.0,10.0,24.3
19,dying,2015-08-17,10170,200,False,False,счастие глаз карий,27.7,732.2,82.0,"Ветер, дующий с юго-запада",3.0,4.0,10.0,24.3
20,dying,2015-08-17,7937,167,False,False,вспомнить девочка который любить,27.7,732.2,82.0,"Ветер, дующий с юго-запада",3.0,4.0,10.0,24.3
21,dying,2015-08-17,5456,118,False,False,часто говорить представлять сколько думать,27.7,732.2,82.0,"Ветер, дующий с юго-запада",3.0,4.0,10.0,24.3
22,dying,2015-08-17,3624,61,False,False,уезжать жить бельгия уезжать туда петь рапапа мочь навсегда,27.7,732.2,82.0,"Ветер, дующий с юго-запада",3.0,4.0,10.0,24.3
23,dying,2015-08-17,3846,137,False,False,3 разный личность 1 общительный громкий 2 тихий чертовски спокойный 3 ненавидеть каждый малый вещь раздражать,27.7,732.2,82.0,"Ветер, дующий с юго-запада",3.0,4.0,10.0,24.3
24,dying,2015-08-17,2566,45,False,False,приходить работа работать глупый вопрос отвечать почему пьяный спать,27.7,732.2,82.0,"Ветер, дующий с юго-запада",3.0,4.0,10.0,24.3
25,dying,2015-08-17,4458,187,False,False,"16 способ доставать родитель добавлять страница потерять 1 ходить дом 2 мычать корова называть твой имя 3 вбегать стена 4 говорить носить одежда противоречить твой религия 5 вставать около 4 утро огромный улыбка сказать добрый утро солнышко 6 вырывать кто-нибудь волос закричать днк !!"". 7 спрыгивать крыша попытка полететь 8 взять рука испуганный вид сказать видеть мертвец 9 попытаться поплавать пол 10 бегать весь дом лампочка кричать солнце оно умирать !"" 11 пить стакан сторона 12 приклеивать палец нос супер клей 13 поразговаривать ручка 14 взять мороженое прилеплять лоб утверждать прекрасный единорог 15 повключать повыклюкать свет сказать аааа понимать 16 кричать тон !!!! каждый душа",27.7,732.2,82.0,"Ветер, дующий с юго-запада",3.0,4.0,10.0,24.3
26,dying,2015-08-17,1242,18,False,False,каждый леша должный свой вика,27.7,732.2,82.0,"Ветер, дующий с юго-запада",3.0,4.0,10.0,24.3
27,dying,2015-08-16,3108,92,False,False,маша обижать лес багажник увидеть,26.1,733.8,89.0,"Ветер, дующий с юго-юго-запада",2.0,4.0,10.0,24.1
28,dying,2015-08-16,4137,65,False,False,каждый катя должный свой ящик водка,26.1,733.8,89.0,"Ветер, дующий с юго-юго-запада",2.0,4.0,10.0,24.1
29,dying,2015-08-16,2367,29,False,False,дарить цветок дарить пожирать,26.1,733.8,89.0,"Ветер, дующий с юго-юго-запада",2.0,4.0,10.0,24.1
30,dying,2015-08-16,1428,23,False,False,алина юля становиться свой место ...,26.1,733.8,89.0,"Ветер, дующий с юго-юго-запада",2.0,4.0,10.0,24.1
31,dying,2015-08-16,1364,18,False,False,каждый анек должный свой никита,26.1,733.8,89.0,"Ветер, дующий с юго-юго-запада",2.0,4.0,10.0,24.1
32,dying,2015-08-16,2974,56,False,False,каждый должный свой яна,26.1,733.8,89.0,"Ветер, дующий с юго-юго-запада",2.0,4.0,10.0,24.1
33,dying,2015-08-16,2288,52,False,False,каждый должный свой полина,26.1,733.8,89.0,"Ветер, дующий с юго-юго-запада",2.0,4.0,10.0,24.1
34,dying,2015-08-16,166,3,False,True,AppToday это необходимо скачать 15 авг 2015 9 54,26.1,733.8,89.0,"Ветер, дующий с юго-юго-запада",2.0,4.0,10.0,24.1
35,dying,2015-08-16,2978,72,False,False,каждый должный свой соня,26.1,733.8,89.0,"Ветер, дующий с юго-юго-запада",2.0,4.0,10.0,24.1
36,dying,2015-08-16,3503,46,False,False,долбоеб,26.1,733.8,89.0,"Ветер, дующий с юго-юго-запада",2.0,4.0,10.0,24.1
37,dying,2015-08-16,3144,93,False,False,принцесск,26.1,733.8,89.0,"Ветер, дующий с юго-юго-запада",2.0,4.0,10.0,24.1
38,dying,2015-08-16,2606,54,False,False,любовь подруга лиза,26.1,733.8,89.0,"Ветер, дующий с юго-юго-запада",2.0,4.0,10.0,24.1
39,dying,2015-08-16,2864,49,True,False,сигарета приносить радость твой любить,26.1,733.8,89.0,"Ветер, дующий с юго-юго-запада",2.0,4.0,10.0,24.1
40,dying,2015-08-16,1755,42,False,False,заниматься го фотка,26.1,733.8,89.0,"Ветер, дующий с юго-юго-запада",2.0,4.0,10.0,24.1
41,dying,2015-08-16,3161,86,False,False,1 накосячить 2 попытаться исправлять 3 накосячить,26.1,733.8,89.0,"Ветер, дующий с юго-юго-запада",2.0,4.0,10.0,24.1
42,dying,2015-08-16,3681,61,False,False,значит неа значит пока выебываться,26.1,733.8,89.0,"Ветер, дующий с юго-юго-запада",2.0,4.0,10.0,24.1
43,dying,2015-08-16,206,1,True,True,DELETED 5 авг 2015 9 04,26.1,733.8,89.0,"Ветер, дующий с юго-юго-запада",2.0,4.0,10.0,24.1
44,dying,2015-08-16,4054,69,False,False,любовь настя,26.1,733.8,89.0,"Ветер, дующий с юго-юго-запада",2.0,4.0,10.0,24.1
45,dying,2015-08-16,3438,35,False,False,лайков ебать красиво становиться,26.1,733.8,89.0,"Ветер, дующий с юго-юго-запада",2.0,4.0,10.0,24.1
46,dying,2015-08-16,5027,125,False,False,голубой глаз восхитительный,26.1,733.8,89.0,"Ветер, дующий с юго-юго-запада",2.0,4.0,10.0,24.1
47,dying,2015-08-16,3233,71,False,False,каждый должный свой карина,26.1,733.8,89.0,"Ветер, дующий с юго-юго-запада",2.0,4.0,10.0,24.1
48,dying,2015-08-16,2459,33,False,False,текст бессмысленный твой жизнь,26.1,733.8,89.0,"Ветер, дующий с юго-юго-запада",2.0,4.0,10.0,24.1
49,dying,2015-08-16,3180,56,False,False,счастливый жизнь лола погодить сечь,26.1,733.8,89.0,"Ветер, дующий с юго-юго-запада",2.0,4.0,10.0,24.1
50,dying,2015-08-16,3623,56,False,False,никто нужный смиряться,26.1,733.8,89.0,"Ветер, дующий с юго-юго-запада",2.0,4.0,10.0,24.1
51,dying,2015-08-16,2029,58,False,False,каждый настя фея,26.1,733.8,89.0,"Ветер, дующий с юго-юго-запада",2.0,4.0,10.0,24.1
52,dying,2015-08-16,1702,33,False,False,слышь че дерзкий просто полина,26.1,733.8,89.0,"Ветер, дующий с юго-юго-запада",2.0,4.0,10.0,24.1
53,dying,2015-08-16,2238,17,False,False,спасибо целый месяц счастие хотя спасибо уебок,26.1,733.8,89.0,"Ветер, дующий с юго-юго-запада",2.0,4.0,10.0,24.1
54,dying,2015-08-16,1743,24,False,False,боже просто женя,26.1,733.8,89.0,"Ветер, дующий с юго-юго-запада",2.0,4.0,10.0,24.1
55,dying,2015-08-16,2097,29,False,False,смело,26.1,733.8,89.0,"Ветер, дующий с юго-юго-запада",2.0,4.0,10.0,24.1
56,dying,2015-08-16,2099,33,False,False,простоуйдинахуй,26.1,733.8,89.0,"Ветер, дующий с юго-юго-запада",2.0,4.0,10.0,24.1
57,dying,2015-08-16,1722,26,False,False,каждый влад бандитка ама хасл ама ама хасл,26.1,733.8,89.0,"Ветер, дующий с юго-юго-запада",2.0,4.0,10.0,24.1
58,dying,2015-08-16,1133,6,False,False,каждый даша должный свой темочка,26.1,733.8,89.0,"Ветер, дующий с юго-юго-запада",2.0,4.0,10.0,24.1
59,dying,2015-08-16,2154,35,False,False,каждый вика малявка ...,26.1,733.8,89.0,"Ветер, дующий с юго-юго-запада",2.0,4.0,10.0,24.1
60,dying,2015-08-16,703,10,False,False,каждый эмилий милый,26.1,733.8,89.0,"Ветер, дующий с юго-юго-запада",2.0,4.0,10.0,24.1
61,dying,2015-08-16,1774,36,False,False,гулять друг собака,26.1,733.8,89.0,"Ветер, дующий с юго-юго-запада",2.0,4.0,10.0,24.1
62,dying,2015-08-16,549,8,False,False,каждый маша должный свой инна,26.1,733.8,89.0,"Ветер, дующий с юго-юго-запада",2.0,4.0,10.0,24.1
63,dying,2015-08-16,611,8,False,False,каждый ксюша должный свой кенан каждый кенан должный свой ксюша,26.1,733.8,89.0,"Ветер, дующий с юго-юго-запада",2.0,4.0,10.0,24.1
64,dying,2015-08-16,1002,24,False,False,здорово сестренка иринка который любить который любить,26.1,733.8,89.0,"Ветер, дующий с юго-юго-запада",2.0,4.0,10.0,24.1
65,dying,2015-08-16,3425,30,False,False,мб самый красивый зато орех норма,26.1,733.8,89.0,"Ветер, дующий с юго-юго-запада",2.0,4.0,10.0,24.1
66,dying,2015-08-16,923,10,False,False,каждый маша должный свой ира,26.1,733.8,89.0,"Ветер, дующий с юго-юго-запада",2.0,4.0,10.0,24.1
67,dying,2015-08-16,2050,55,False,False,голубой глаз темный волос высокий рост идеальный сочетание,26.1,733.8,89.0,"Ветер, дующий с юго-юго-запада",2.0,4.0,10.0,24.1
68,dying,2015-08-15,651,1,False,False,редко бывать сестра анита рита,23.8,731.2,91.0,"Ветер, дующий с юго-юго-востока",1.0,4.0,10.0,22.3
69,dying,2015-08-15,991,14,False,False,любовь милена,23.8,731.2,91.0,"Ветер, дующий с юго-юго-востока",1.0,4.0,10.0,22.3
70,dying,2015-08-15,558,6,False,False,каждый карина должный свой влад каждый влада должный свой карина,23.8,731.2,91.0,"Ветер, дующий с юго-юго-востока",1.0,4.0,10.0,22.3
71,dying,2015-08-15,878,22,False,False,каждый ира должный свой даша каждый даша должный свой ира,23.8,731.2,91.0,"Ветер, дующий с юго-юго-востока",1.0,4.0,10.0,22.3
72,dying,2015-08-15,1783,28,False,False,любить друг друг убивать,23.8,731.2,91.0,"Ветер, дующий с юго-юго-востока",1.0,4.0,10.0,22.3
73,dying,2015-08-15,1969,55,True,False,мочь взять убегать бросать весь попросить убегать вместе,23.8,731.2,91.0,"Ветер, дующий с юго-юго-востока",1.0,4.0,10.0,22.3
74,dying,2015-08-15,3150,124,False,False,класс это столица школа класс гангстер класс учиться элита учитель бояться класс кроме класс холоп отличник вести гопот класс некоторые мочь приходить бухой урок,23.8,731.2,91.0,"Ветер, дующий с юго-юго-востока",1.0,4.0,10.0,22.3
75,dying,2015-08-15,1440,22,False,False,друг,23.8,731.2,91.0,"Ветер, дующий с юго-юго-востока",1.0,4.0,10.0,22.3
76,dying,2015-08-15,2800,72,False,False,мечтать прочитывать твой мысль узнавать,23.8,731.2,91.0,"Ветер, дующий с юго-юго-востока",1.0,4.0,10.0,22.3
77,dying,2015-08-15,1501,94,False,False,почему дружить добавлять стена 1 интересный 2 веселый 3 супер 4 мочь 5 любить 6 хороший подруга 7 привлекательный,23.8,731.2,91.0,"Ветер, дующий с юго-юго-востока",1.0,4.0,10.0,22.3
78,dying,2015-08-15,3100,41,False,False,душа пиздец спасибо мальчик,23.8,731.2,91.0,"Ветер, дующий с юго-юго-востока",1.0,4.0,10.0,22.3
79,dying,2015-08-15,1805,35,False,False,делать хотеться равный осуждать конец жизнь,23.8,731.2,91.0,"Ветер, дующий с юго-юго-востока",1.0,4.0,10.0,22.3
80,dying,2015-08-15,912,37,False,False,каждый диана красивый заботливый добрый нежный милый очаровательный душевный незабываемый ангельский веселый энергичный чудесный романтичный симпатичный единственный ласковый желанный предсказуемый загадочный интриговать хороший скромный понимать улыбчивый честный обаятельный целеустремленный дивный женственный,23.8,731.2,91.0,"Ветер, дующий с юго-юго-востока",1.0,4.0,10.0,22.3
81,dying,2015-08-15,2205,43,False,False,шрам смеяться ранить,23.8,731.2,91.0,"Ветер, дующий с юго-юго-востока",1.0,4.0,10.0,22.3
82,dying,2015-08-15,964,21,False,False,каждый аля бандитка ама хасл ама ама хасл,23.8,731.2,91.0,"Ветер, дующий с юго-юго-востока",1.0,4.0,10.0,22.3
83,dying,2015-08-15,1672,35,False,False,хотеть кто-нибудь смотреть смотреть шоколадный торт,23.8,731.2,91.0,"Ветер, дующий с юго-юго-востока",1.0,4.0,10.0,22.3
84,dying,2015-08-15,2063,39,False,False,нужный далеко,23.8,731.2,91.0,"Ветер, дующий с юго-юго-востока",1.0,4.0,10.0,22.3
85,dying,2015-08-15,1609,68,False,False,лето это 3 месяц учебник 92 день свобода 2 208 час счастие 133 480 минута блаженство,23.8,731.2,91.0,"Ветер, дующий с юго-юго-востока",1.0,4.0,10.0,22.3
86,dying,2015-08-15,2365,22,False,False,хотеть вместо контрольный нарисовать хуй тетрадка,23.8,731.2,91.0,"Ветер, дующий с юго-юго-востока",1.0,4.0,10.0,22.3
87,dying,2015-08-15,1750,39,False,False,п з т е м е н н,23.8,731.2,91.0,"Ветер, дующий с юго-юго-востока",1.0,4.0,10.0,22.3
88,dying,2015-08-15,1669,31,False,False,безумно захотеться кто-то садиться рядом сказать понимать действительно понимать почему поступать иначе почему просто понимать это важный,23.8,731.2,91.0,"Ветер, дующий с юго-юго-востока",1.0,4.0,10.0,22.3
89,dying,2015-08-15,1662,31,False,False,лето нужно гулять даша,23.8,731.2,91.0,"Ветер, дующий с юго-юго-востока",1.0,4.0,10.0,22.3
90,dying,2015-08-15,2606,40,False,False,холодно обнимать батарея,23.8,731.2,91.0,"Ветер, дующий с юго-юго-востока",1.0,4.0,10.0,22.3
91,dying,2015-08-15,2464,58,False,False,катя,23.8,731.2,91.0,"Ветер, дующий с юго-юго-востока",1.0,4.0,10.0,22.3
92,dying,2015-08-15,1443,21,False,False,приходить ко чай,23.8,731.2,91.0,"Ветер, дующий с юго-юго-востока",1.0,4.0,10.0,22.3
93,dying,2015-08-15,2372,38,False,False,кристина обижать нужно любить,23.8,731.2,91.0,"Ветер, дующий с юго-юго-востока",1.0,4.0,10.0,22.3
94,dying,2015-08-15,2509,53,False,False,милый красивый очаровательный девушка парень сдыхать счастие,23.8,731.2,91.0,"Ветер, дующий с юго-юго-востока",1.0,4.0,10.0,22.3
