,author,date,n_likes,n_reposts,with_photo,is_repost?,text
0,dying,2015-08-17,14351,325,False,False,хотеть видеть каждый день
1,dying,2015-08-17,7098,144,False,False,жить жить твой жизнь появляться полина
2,dying,2015-08-17,6439,121,False,False,скучать наташа
3,dying,2015-08-17,8469,221,False,False,давать бог каждый сердце искать
4,dying,2015-08-17,3704,71,False,False,арина милашка арина бандитка арина псих арина хороший
5,dying,2015-08-17,11242,257,False,False,человек который бросать слово ветер бросать мост
6,dying,2015-08-17,571,34,False,True,AppToday это необходимо скачать 16 авг 2015 20 27
7,dying,2015-08-17,7313,109,False,False,хотеть просыпаться видеть твой еблище
8,dying,2015-08-17,6788,164,False,False,принцеск
9,dying,2015-08-17,3655,58,False,False,весь светок принцесски
10,dying,2015-08-17,2625,29,False,False,каждый лида чей-то проблема
11,dying,2015-08-17,6562,167,False,False,хотеть больно
12,dying,2015-08-17,5621,86,False,False,уставать скучать блять
13,dying,2015-08-17,5827,130,False,False,любовь любить шоколад
14,dying,2015-08-17,3560,68,False,False,скучать алена
15,dying,2015-08-17,4553,85,False,False,здравствовать грусть
16,dying,2015-08-17,4747,111,False,False,любить лера писать лера гулять лерой обнимать лера ценить лера беречь лера
17,dying,2015-08-17,3787,85,False,False,любовь подруга даша
18,dying,2015-08-17,4204,42,False,False,отсасывать просить
19,dying,2015-08-17,10170,200,False,False,счастие глаз карий
20,dying,2015-08-17,7937,167,False,False,вспомнить девочка который любить
21,dying,2015-08-17,5456,118,False,False,часто говорить представлять сколько думать
22,dying,2015-08-17,3624,61,False,False,уезжать жить бельгия уезжать туда петь рапапа мочь навсегда
23,dying,2015-08-17,3846,137,False,False,3 разный личность 1 общительный громкий 2 тихий чертовски спокойный 3 ненавидеть каждый малый вещь раздражать
24,dying,2015-08-17,2566,45,False,False,приходить работа работать глупый вопрос отвечать почему пьяный спать
25,dying,2015-08-17,4458,187,False,False,"16 способ доставать родитель добавлять страница потерять 1 ходить дом 2 мычать корова называть твой имя 3 вбегать стена 4 говорить носить одежда противоречить твой религия 5 вставать около 4 утро огромный улыбка сказать добрый утро солнышко 6 вырывать кто-нибудь волос закричать днк !!"". 7 спрыгивать крыша попытка полететь 8 взять рука испуганный вид сказать видеть мертвец 9 попытаться поплавать пол 10 бегать весь дом лампочка кричать солнце оно умирать !"" 11 пить стакан сторона 12 приклеивать палец нос супер клей 13 поразговаривать ручка 14 взять мороженое прилеплять лоб утверждать прекрасный единорог 15 повключать повыклюкать свет сказать аааа понимать 16 кричать тон !!!! каждый душа"
26,dying,2015-08-17,1242,18,False,False,каждый леша должный свой вика
27,dying,2015-08-16,3108,92,False,False,маша обижать лес багажник увидеть
28,dying,2015-08-16,4137,65,False,False,каждый катя должный свой ящик водка
29,dying,2015-08-16,2367,29,False,False,дарить цветок дарить пожирать
30,dying,2015-08-16,1428,23,False,False,алина юля становиться свой место ...
31,dying,2015-08-16,1364,18,False,False,каждый анек должный свой никита
32,dying,2015-08-16,2974,56,False,False,каждый должный свой яна
33,dying,2015-08-16,2288,52,False,False,каждый должный свой полина
34,dying,2015-08-16,166,3,False,True,AppToday это необходимо скачать 15 авг 2015 9 54
35,dying,2015-08-16,2978,72,False,False,каждый должный свой соня
36,dying,2015-08-16,3503,46,False,False,долбоеб
37,dying,2015-08-16,3144,93,False,False,принцесск
38,dying,2015-08-16,2606,54,False,False,любовь подруга лиза
39,dying,2015-08-16,2864,49,True,False,сигарета приносить радость твой любить
40,dying,2015-08-16,1755,42,False,False,заниматься го фотка
41,dying,2015-08-16,3161,86,False,False,1 накосячить 2 попытаться исправлять 3 накосячить
42,dying,2015-08-16,3681,61,False,False,значит неа значит пока выебываться
43,dying,2015-08-16,206,1,True,True,DELETED 5 авг 2015 9 04
44,dying,2015-08-16,4054,69,False,False,любовь настя
45,dying,2015-08-16,3438,35,False,False,лайков ебать красиво становиться
46,dying,2015-08-16,5027,125,False,False,голубой глаз восхитительный
