,author,date,n_likes,n_reposts,with_photo,is_repost?,text,translation,тональность,tonality_numbers
0,dying,2015-08-17,14351,325,False,False,хотеть видеть каждый день,want to see every day,Нейтральная,0.0
1,dying,2015-08-17,7098,144,False,False,жить жить твой жизнь появляться полина,live live your life appear polina,Положительная,1.0
2,dying,2015-08-17,6439,121,False,False,скучать наташа,miss natasha,Нейтральная,0.0
3,dying,2015-08-17,8469,221,False,False,давать бог каждый сердце искать,god give every heart to seek,Нейтральная,0.0
4,dying,2015-08-17,3704,71,False,False,арина милашка арина бандитка арина псих арина хороший,arina cutie arina bandit arina psycho arina good,Положительная,1.0
5,dying,2015-08-17,11242,257,False,False,человек который бросать слово ветер бросать мост,the person who throws the word wind throws the bridge,Нейтральная,0.0
6,dying,2015-08-17,571,34,False,True,AppToday это необходимо скачать 16 авг 2015 20 27,AppToday is a must download 16 Aug 2015 20 27,Нейтральная,0.0
7,dying,2015-08-17,7313,109,False,False,хотеть просыпаться видеть твой еблище,want to wake up to see your fucker,Нейтральная,0.0
8,dying,2015-08-17,6788,164,False,False,принцеск,princess,Нейтральная,0.0
9,dying,2015-08-17,3655,58,False,False,весь светок принцесски,the whole world of the princess,Положительная,1.0
10,dying,2015-08-17,2625,29,False,False,каждый лида чей-то проблема,every lead is someone's problem,Нейтральная,0.0
11,dying,2015-08-17,6562,167,False,False,хотеть больно,want to hurt,Нейтральная,0.0
12,dying,2015-08-17,5621,86,False,False,уставать скучать блять,get tired get bored,Отрицательная,-1.0
13,dying,2015-08-17,5827,130,False,False,любовь любить шоколад,love love chocolate,Положительная,1.0
14,dying,2015-08-17,3560,68,False,False,скучать алена,miss Alena,Нейтральная,0.0
15,dying,2015-08-17,4553,85,False,False,здравствовать грусть,hello sadness,Нейтральная,0.0
16,dying,2015-08-17,4747,111,False,False,любить лера писать лера гулять лерой обнимать лера ценить лера беречь лера,love Lera write Lera walk Leroy hug Lera appreciate Lera cherish Lera,Положительная,1.0
17,dying,2015-08-17,3787,85,False,False,любовь подруга даша,love friend Dasha,Положительная,1.0
