,author,date,text,n_likes,n_reposts,with_photo,is_repost?
0,dying,17 авг 2015,хотеть   видеть   ты   каждый   день,14351,325,False,False
1,dying,17 авг 2015,"жить   жить ,  и   тут   в   твой   жизнь   появляться   полина",7098,144,False,False
2,dying,17 авг 2015,-  по   кто   скучать ?  -  по   наташа,6439,121,False,False
3,dying,17 авг 2015,"и   давать   бог   каждый   быть   с   то ,  с   кто   сердце   не   искать   другой",8469,221,False,False
4,dying,17 авг 2015,мой   арина   милашка   мой   арина   бандитка   мой   арина   псих   мой   арина   хороший,3704,71,False,False
5,dying,17 авг 2015,"человек ,  который   бросать   слово   на   ветер ,  я   бы   бросать   с   мост .",11242,257,False,False
6,dying,17 авг 2015,AppToday |  это   необходимо   скачать   16   авг   2015   в   20 : 27,571,34,False,True
7,dying,17 авг 2015,хотеть   просыпаться   и   видеть   твой   еблище,7313,109,False,False
8,dying,17 авг 2015,"я   принцеск ,  а   вы   нет",6788,164,False,False
9,dying,17 авг 2015,весь   светок   принцесски,3655,58,False,False
10,dying,17 авг 2015,каждый   лида   чей-то   проблема,2625,29,False,False
11,dying,17 авг 2015,"я   хотеть ,  чтобы   ты   быть   так   же   больно ,  как   и   я .",6562,167,False,False
12,dying,17 авг 2015,"я   уставать   скучать ,  блять",5621,86,False,False
13,dying,17 авг 2015,"у   все   любовь ,  а   я   любить   шоколад",5827,130,False,False
14,dying,17 авг 2015,-  по   кто   скучать ?  -  по   алена,3560,68,False,False
15,dying,17 авг 2015,здравствовать   грусть,4553,85,False,False
16,dying,17 авг 2015,любить   лера   писать   лера   гулять   с   лерой   обнимать   лера   ценить   лера   беречь   лера,4747,111,False,False
17,dying,17 авг 2015,"у   все   любовь ,  а   у   я   подруга   даша",3787,85,False,False
18,dying,17 авг 2015,отсасывать   потом   просить,4204,42,False,False
19,dying,17 авг 2015,а   у   мой   счастие   глаз   карий,10170,200,False,False
20,dying,17 авг 2015,"ты   еще   вспомнить ,  тот   девочка ,  который   любить   ты   много   все",7937,167,False,False
21,dying,17 авг 2015,"я   часто   про   он   говорить ?  а   представлять ,  сколько   я   про   он   думать .",5456,118,False,False
22,dying,17 авг 2015,"я   уезжать   жить   в   бельгия ,  я   уезжать   туда ,  где   петь   рапапа   мочь   быть   навсегда",3624,61,False,False
23,dying,17 авг 2015,"у   я   3   разный   личность :   1 .  один ,  где   я   общительный   и   громкий    2 .  один ,  где   я   тихий   и   чертовски   спокойный    3 .  один ,  где   я   ненавидеть   все   и   каждый   малый   вещь   раздражать   я",3846,137,False,False
24,dying,17 авг 2015,я   приходить   на   работа   работать .  а   не   на   глупый   вопрос   отвечать  –  почему   я   пьяный   здесь   спать .,2566,45,False,False
25,dying,17 авг 2015,"16   способ :  как   доставать   родитель .  добавлять   к   себя   на   страница ,  чтобы   не   потерять .   1 .  ходить   за   они   по   дом .  2 .  мычать   как   корова   когда   они   называть   твой   имя .  3 .  вбегать   в   стена .  4 .  говорить   что   носить   одежда   противоречить   твой   религия .  5 .  вставать   около   они   в   4   утро   и   с   огромный   улыбка   сказать  "" добрый   утро , солнышко "" .  6 .  вырывать   у   кто-нибудь   волос   и   закричать  "" днк !!"".  7 .  спрыгивать   с   крыша   в   попытка   полететь .  8 .  взять   они   за   рука   и   с   испуганный   вид   сказать  "" я   видеть   мертвец "" .  9 .  попытаться   поплавать   на   пол .  10 .  бегать   по   весь   дом   с   лампочка   и   кричать  "" солнце !  оно   умирать !""  11 .  пить   из   стакан   с   другой   сторона .  12 .  приклеивать   палец   к   нос   супер   клей .  13 .  поразговаривать   с   ручка .  14 .  взять   мороженое   и   прилеплять   себя   на   лоб , утверждать   что   ты   прекрасный   единорог .  15 .  повключать   и   повыклюкать   свет ,  а   потом   сказать  "" аааа   теперь   я   понимать "" .  16 .  кричать  "" я   тон !!!! ""  каждый   раз   когда   ты   в   душа .",4458,187,False,False
26,dying,17 авг 2015,у   каждый   леша   должный   быть   свой   вика,1242,18,False,False
27,dying,16 авг 2015,маша   обижать  -  лес   и   багажник   увидеть,3108,92,False,False
28,dying,16 авг 2015,у   каждый   катя   должный   быть   свой   ящик   водка,4137,65,False,False
29,dying,16 авг 2015,"не   дарить   я   цветок , дарить   я   пожирать",2367,29,False,False
30,dying,16 авг 2015,"хорошо   когда   с   алина   юля , все   становиться   на   свой   место ...",1428,23,False,False
31,dying,16 авг 2015,- у   каждый   анек   должный   быть   свой   никита,1364,18,False,False
32,dying,16 авг 2015,у   каждый   должный   быть   свой   яна,2974,56,False,False
33,dying,16 авг 2015,у   каждый   должный   быть   свой   полина,2288,52,False,False
34,dying,16 авг 2015,AppToday |  это   необходимо   скачать   15   авг   2015   в   9 : 54,166,3,False,True
35,dying,16 авг 2015,у   каждый   должный   быть   свой   соня,2978,72,False,False
36,dying,16 авг 2015,мой   долбоеб,3503,46,False,False
37,dying,16 авг 2015,я  -  принцесск,3144,93,False,False
38,dying,16 авг 2015,"у   все   любовь ,  а   у   я   подруга   лиза",2606,54,False,False
39,dying,16 авг 2015,"мой   сигарета   приносить   я   много   радость ,  чем   твой   любить",2864,49,True,False
40,dying,16 авг 2015,"кто   чем   заниматься ,  го   по   фотка",1755,42,False,False
